genre,Nintendo64,PlayStation,PlayStation3,Dreamcast,Xbox360,Wii,XboxOne,Switch,PlayStation2,PlayStation4,GameCube,Xbox,PC,WiiU,GameBoyAdvance,3DS,DS,PlayStationVita,PSP,XboxSeriesX,PlayStation5,Stadia
party,2,1,7,1,8,29,0,0,6,1,9,5,0,8,1,2,7,1,2,0,0,0
ship,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0
automobile,0,0,77,0,99,32,86,27,0,92,0,0,177,7,0,11,24,9,39,0,0,0
baseball,0,1,17,1,12,6,3,1,31,10,10,18,18,0,4,0,2,2,9,0,0,0
board/cardgame,0,0,3,0,25,7,5,9,0,5,0,0,19,2,0,3,3,0,1,0,0,0
sim,2,16,92,8,97,30,43,6,143,51,45,85,94,3,7,4,11,4,49,0,0,0
racing,13,25,92,19,117,41,88,34,140,108,38,92,199,8,32,14,29,12,49,0,0,0
pc-stylerpg,0,0,7,0,8,0,0,0,2,0,0,0,59,0,0,0,0,0,0,0,0,0
horizontal,0,0,3,0,15,4,8,16,0,13,0,0,11,1,0,3,2,2,2,0,0,0
hiddenobject,0,0,1,0,2,1,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
action,31,59,595,45,814,290,425,449,406,704,159,266,1267,105,199,160,246,113,169,0,2,2
horror,1,9,35,7,42,13,6,0,40,11,9,18,83,4,1,3,5,4,8,0,0,0
strategy,3,4,45,4,73,23,57,71,52,102,10,22,962,8,22,29,72,22,49,0,0,2
music,0,2,39,1,40,33,8,20,33,23,3,2,18,3,2,9,19,13,5,0,0,0
static,0,0,11,0,23,2,2,0,0,1,0,0,6,1,0,1,5,2,4,0,0,0
actionadventure,7,19,215,12,248,80,246,167,213,401,69,120,642,34,35,32,77,33,54,1,1,0
actionrpg,0,6,56,1,69,17,59,70,43,144,6,16,216,3,25,17,40,17,33,0,0,0
shooter,12,15,223,14,332,59,169,94,152,242,50,134,671,12,31,19,44,22,43,0,0,0
musicmaker,0,0,5,0,3,1,0,0,3,0,0,2,0,0,0,0,3,1,1,0,0,0
miscellaneous,4,10,180,5,261,176,52,87,132,103,39,52,246,32,51,78,193,39,90,0,0,0
parlor,0,1,8,1,21,4,1,0,11,6,2,9,9,1,5,3,5,1,8,0,0,0
japanese-style,0,0,32,0,20,5,6,40,0,60,0,0,38,4,0,29,31,19,24,1,0,0
vertical,0,0,18,0,38,5,11,13,0,13,0,0,18,3,0,8,13,5,5,0,0,0
golf,2,1,12,0,12,11,8,5,17,10,8,10,16,0,2,3,4,2,9,0,0,0
text,0,0,0,0,1,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0
first-person,9,4,131,3,191,29,134,29,58,198,25,85,650,4,8,6,29,11,13,0,1,0
futuristic,3,3,4,3,3,3,2,9,12,14,4,8,16,1,2,2,1,1,2,0,0,0
sports,6,32,165,24,210,108,84,35,262,120,98,164,168,9,41,22,42,13,77,0,0,0
console-stylerpg,2,20,19,2,20,4,0,0,61,2,13,2,9,1,28,17,43,4,22,0,0,0
adventure,1,2,66,1,85,50,117,118,15,233,5,11,738,5,2,15,56,28,14,0,1,0
noinfo,0,0,1,0,1,1,1,0,2,0,1,1,2,0,1,0,1,1,0,0,0,0
massivelymultiplayer,0,0,2,0,2,0,5,0,0,10,0,0,127,0,0,0,0,0,0,0,0,0
surfing,0,0,1,1,1,1,0,0,4,0,1,2,1,0,0,0,0,0,0,0,0,0
driving,13,32,100,24,123,41,11,0,175,9,47,117,150,9,38,14,30,10,53,0,0,0
government,0,0,0,0,2,1,6,4,0,5,0,0,54,0,0,0,2,0,0,0,0,0
tactics,0,0,11,0,7,4,17,30,0,36,0,0,124,0,0,13,19,8,15,0,0,0
citybuilding,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,0,1,0,1,0,0,0
kart,3,3,4,2,3,6,0,0,9,1,6,4,2,4,3,2,6,2,2,0,0,0
