name,score,user score,critics,users,platform,rating
Left 4 Dead 2,89,85.0,76,754,Xbox360,81.89
Crusader Kings III,91,84.0,59,297,PC,81.86
Forza Motorsport 2,90,83.0,66,401,Xbox360,81.84
Final Fantasy X,92,89.0,53,1673,PlayStation2,81.84
Unreal Tournament 2004,93,88.0,48,719,PC,81.81
Diablo III,88,41.0,86,9774,PC,81.78
Gran Turismo 4,89,87.0,74,375,PlayStation2,81.77
Super Mario Maker,88,87.0,85,840,WiiU,81.73
Grand Theft Auto: San Andreas,93,89.0,47,3074,PC,81.69
Sid Meier's Civilization VI,88,70.0,84,1285,PC,81.68
Far Cry,89,80.0,72,1003,PC,81.65
Tetris Effect,89,76.0,72,201,PlayStation4,81.65
Tony Hawk's Pro Skater 1 + 2,89,89.0,72,424,PlayStation4,81.65
Diablo III: Ultimate Evil Edition,90,79.0,63,1411,PlayStation4,81.62
FIFA Soccer 10,90,74.0,63,143,Xbox360,81.62
FIFA Soccer 10,91,76.0,56,225,PlayStation3,81.59
Crysis,91,81.0,56,2503,PC,81.59
Pillars of Eternity,89,83.0,71,2520,PC,81.59
The Witcher 2: Assassins of Kings,88,84.0,82,916,Xbox360,81.58
Mario Kart 8,88,88.0,82,1917,WiiU,81.58
Total War: Shogun 2,90,84.0,62,1345,PC,81.54
Empire: Total War,90,70.0,62,3113,PC,81.54
Metroid Prime 3: Corruption,90,88.0,62,612,Wii,81.54
Call of Duty: Modern Warfare 3,88,35.0,81,8597,Xbox360,81.53
The Witcher 3: Wild Hunt - Blood and Wine,92,93.0,50,3088,PC,81.53
Hades,92,90.0,50,335,PC,81.53
Deus Ex: Human Revolution,89,84.0,70,745,Xbox360,81.52
Ratchet & Clank Future: Tools of Destruction,89,88.0,70,774,PlayStation3,81.52
Super Street Fighter IV,91,77.0,55,129,Xbox360,81.5
Battlefield 2,91,84.0,55,1017,PC,81.5
The Sims 2,90,87.0,61,891,PC,81.46
Dark Souls III,89,88.0,69,3549,PlayStation4,81.46
Astral Chain,87,89.0,92,3243,Switch,81.38
Grand Theft Auto IV: The Ballad of Gay Tony,89,86.0,67,276,Xbox360,81.33
Left 4 Dead,89,79.0,67,1360,Xbox360,81.33
ICO,90,88.0,59,458,PlayStation2,81.3
Assassin's Creed: Brotherhood,90,83.0,59,1092,PlayStation3,81.3
Injustice 2,87,81.0,90,750,PlayStation4,81.3
The Witcher 2: Assassins of Kings,88,85.0,76,5504,PC,81.27
Call of Duty: Black Ops,87,66.0,89,1617,Xbox360,81.26
Batman: Arkham Knight,87,79.0,89,3981,PlayStation4,81.26
Dark Souls,89,85.0,66,1276,Xbox360,81.26
Fez,89,62.0,66,374,Xbox360,81.26
Metal Gear Solid: Peace Walker,89,87.0,66,622,PSP,81.26
Mario & Luigi: Bowser's Inside Story,90,88.0,58,366,DS,81.22
Battlefield: Bad Company 2,88,86.0,75,929,Xbox360,81.21
Project Gotham Racing 3,88,79.0,75,174,Xbox360,81.21
Luigi's Mansion 3,86,85.0,106,977,Switch,81.2
Monster Hunter: World - Iceborne,89,84.0,65,297,PlayStation4,81.19
Burnout Revenge,89,84.0,65,72,Xbox,81.19
New Super Mario Bros.,89,85.0,65,639,DS,81.19
Call of Duty 2,89,82.0,65,356,Xbox360,81.19
Pokemon Sun,87,77.0,87,1082,3DS,81.17
Halo 4,87,71.0,87,3558,Xbox360,81.17
Fallout 3,90,79.0,57,1067,PlayStation3,81.14
The Legend of Zelda: Phantom Hourglass,90,80.0,57,533,DS,81.14
Need for Speed: Hot Pursuit,88,72.0,73,233,Xbox360,81.1
Shadow Complex,88,87.0,73,216,Xbox360,81.1
Ori and the Blind Forest,88,86.0,73,983,XboxOne,81.1
Forza Motorsport 6,87,77.0,85,886,XboxOne,81.08
Ratchet & Clank Future: A Crack in Time,87,89.0,85,557,PlayStation3,81.08
Rise of the Tomb Raider,86,80.0,102,1473,XboxOne,81.07
Into the Breach,90,78.0,56,361,PC,81.05
Dragon Quest VIII: Journey of the Cursed King,89,87.0,63,354,PlayStation2,81.05
Pokemon Moon,87,77.0,84,849,3DS,81.04
God of War Collection,91,87.0,50,678,PlayStation3,81.01
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,91,86.0,50,571,Switch,81.01
Resident Evil 7: biohazard,86,80.0,100,2975,PlayStation4,81.01
DOOM 3,87,77.0,83,1183,PC,80.99
LittleBigPlanet PS Vita,88,85.0,71,379,PlayStationVita,80.98
Pillars of Eternity II: Deadfire,88,78.0,71,627,PC,80.98
Doom 3,88,81.0,71,171,Xbox,80.98
The Witness,87,72.0,82,671,PlayStation4,80.95
Tearaway,87,89.0,82,452,PlayStationVita,80.95
Animal Crossing: New Leaf,88,87.0,70,827,3DS,80.92
Resident Evil 4: Wii Edition,91,89.0,49,467,Wii,80.91
DiRT 3,87,70.0,81,174,Xbox360,80.9
Burnout Revenge,89,83.0,61,166,Xbox360,80.9
Battlefield 3,89,76.0,61,5302,PC,80.9
Titanfall 2,89,85.0,61,1694,PlayStation4,80.9
Pikmin 2,90,90.0,54,200,GameCube,80.87
Tom Clancy's Rainbow Six Vegas,88,82.0,69,240,Xbox360,80.86
The Last of Us: Left Behind,88,45.0,69,2741,PlayStation3,80.86
Pokemon Y,88,75.0,69,1243,3DS,80.86
New Super Mario Bros. Wii,87,83.0,80,767,Wii,80.85
Resistance 2,87,62.0,79,1984,PlayStation3,80.8
Pikmin 3,87,87.0,79,773,WiiU,80.8
Metroid Prime Trilogy,91,90.0,48,412,Wii,80.8
Fallout 3,91,78.0,48,4462,PC,80.8
Burnout Paradise,88,70.0,68,312,Xbox360,80.8
World of Warcraft: Cataclysm,90,57.0,53,1163,PC,80.78
Need for Speed: Hot Pursuit,89,74.0,59,356,PlayStation3,80.75
Borderlands 2,89,83.0,59,966,Xbox360,80.75
Dead Space,88,88.0,67,709,PlayStation3,80.74
Torchlight II,88,85.0,67,2012,PC,80.74
Donkey Kong Country Returns,87,86.0,77,469,Wii,80.7
World of Warcraft: Wrath of the Lich King,91,79.0,47,1294,PC,80.69
Burnout Revenge,90,88.0,52,172,PlayStation2,80.69
Geometry Wars: Retro Evolved 2,90,83.0,52,92,Xbox360,80.69
Deus Ex: Human Revolution,90,85.0,52,3582,PC,80.69
FIFA Soccer 11,88,75.0,66,161,Xbox360,80.67
Uncharted: Drake's Fortune,88,79.0,66,3327,PlayStation3,80.67
Left 4 Dead,89,91.0,58,4071,PC,80.67
Fight Night Round 4,87,81.0,76,89,Xbox360,80.65
Grand Theft Auto: Liberty City Stories,88,77.0,65,540,PSP,80.61
Oddworld: Stranger's Wrath,88,88.0,65,72,Xbox,80.61
What Remains of Edith Finch,88,83.0,65,633,PlayStation4,80.61
The Legend of Zelda: Spirit Tracks,87,80.0,75,315,DS,80.6
Diablo III: Reaper of Souls,87,66.0,75,1644,PC,80.6
Mark of the Ninja,90,74.0,51,215,Xbox360,80.59
Super Meat Boy,90,80.0,51,293,Xbox360,80.59
Astro Bot: Rescue Mission,90,89.0,51,459,PlayStation4,80.59
XCOM: Enemy Unknown,89,82.0,57,2486,PC,80.59
Dragon Ball FighterZ,87,80.0,74,527,PlayStation4,80.55
Sly 2: Band of Thieves,88,90.0,64,268,PlayStation2,80.54
Brothers in Arms: Road to Hill 30,88,80.0,64,71,Xbox,80.54
The Legend of Zelda: The Minish Cap,89,89.0,56,355,GameBoyAdvance,80.51
Dark Souls III,89,84.0,56,3141,PC,80.51
Project Gotham Racing 2,90,87.0,50,86,Xbox,80.5
Dragon Quest XI: Echoes of an Elusive Age,86,87.0,86,902,PlayStation4,80.48
Mario + Rabbids: Kingdom Battle,85,84.0,104,1084,Switch,80.45
Forza Horizon 2,86,83.0,85,1110,XboxOne,80.44
Left 4 Dead 2,89,84.0,55,3066,PC,80.42
Lumines,89,68.0,55,145,PSP,80.42
Tekken 5,88,86.0,62,364,PlayStation2,80.41
World of Warcraft: Legion,88,73.0,62,1045,PC,80.41
BioShock 2,88,82.0,62,624,PlayStation3,80.41
Dishonored 2,88,79.0,62,1215,PlayStation4,80.41
Starcraft II: Legacy of the Void,88,84.0,62,1059,PC,80.41
Advance Wars: Dual Strike,90,89.0,49,198,DS,80.4
Pokemon X,87,75.0,71,1349,3DS,80.38
