name,score,user score,critics,users,platform,rating
Life is Strange,85,86.0,23,1744,PlayStation4,80.2
Metal Gear Solid V: The Phantom Pain,93,82.0,86,5583,PlayStation4,80.19
Starcraft II: Wings of Liberty,93,83.0,82,3477,PC,80.11
Pokemon SoulSilver Version,87,92.0,49,845,DS,80.11
Plants vs. Zombies,87,89.0,41,1130,PC,80.11
Halo: Combat Evolved,97,85.0,68,2052,Xbox,80.1
Persona 4 Golden,93,86.0,61,1700,PlayStationVita,80.09
The Witcher,81,87.0,50,1449,PC,80.08
Ratchet & Clank,85,85.0,101,2024,PlayStation4,80.05
Torchlight II,88,85.0,67,2012,PC,80.03
Fallout,89,88.0,12,1254,PC,80.03
Batman: Arkham Asylum,92,88.0,78,1253,Xbox360,80.02
Resident Evil 2,89,92.0,13,822,PlayStation,79.92
Until Dawn,79,83.0,103,3193,PlayStation4,79.9
Alien: Isolation,81,85.0,41,1941,PC,79.89
Kingdom Hearts,85,89.0,46,1076,PlayStation2,79.83
Diablo II: Lord of Destruction,87,91.0,21,883,PC,79.83
DOOM,85,84.0,61,2308,PlayStation4,79.75
Fallout 3,93,85.0,84,1855,Xbox360,79.72
Splatoon,81,87.0,88,1345,WiiU,79.72
Pokemon HeartGold Version,87,91.0,59,867,DS,79.71
Super Smash Bros. Melee,92,91.0,38,866,GameCube,79.7
Dreams,89,87.0,80,1336,PlayStation4,79.69
Ori and the Blind Forest,88,87.0,12,1329,PC,79.66
Euro Truck Simulator 2,79,87.0,18,1318,PC,79.62
BioShock,94,88.0,51,1136,PlayStation3,79.5
Final Fantasy VII Remake,87,81.0,126,6405,PlayStation4,79.49
Mount & Blade: Warband,78,88.0,23,1123,PC,79.44
Amnesia: The Dark Descent,85,86.0,44,1465,PC,79.44
Gears of War,94,83.0,88,2653,Xbox360,79.39
Europa Universalis IV,87,87.0,34,1257,PC,79.38
The Elder Scrolls IV: Oblivion,94,87.0,90,1257,Xbox360,79.38
Titanfall 2,89,85.0,61,1694,PlayStation4,79.36
Killing Floor,72,86.0,30,1435,PC,79.35
Grand Theft Auto: Vice City,95,88.0,62,1092,PlayStation2,79.29
Far Cry 3,91,86.0,39,1406,Xbox360,79.25
Pillars of Eternity,89,83.0,71,2520,PC,79.24
Day of Defeat,79,91.0,22,800,PC,79.19
Vanquish,84,91.0,70,800,Xbox360,79.19
Vanquish,84,91.0,61,794,PlayStation3,79.14
Borderlands 2,89,82.0,38,3176,PC,79.05
S.T.A.L.K.E.R.: Shadow of Chernobyl,82,85.0,44,1557,PC,79.01
NieR: Automata,84,86.0,12,1331,PC,79.0
Nioh,88,83.0,100,2321,PlayStation4,78.99
Diablo,94,87.0,12,1161,PC,78.98
